FID_1_1,DBA_Edited,Yelp_Name,NOT_FOUND,CLOSED,Temp_CLOSE,TempOrPerm,Years_Open,GasStation,DollarStor,ChainFastF,PRIMARY_LI,Secondary_,ADDRESS,City,State,FullAddres,Lat,Long,lname,GEOID,BUFF_DIST,Count_Closed,Count_Open,Bus_Tot,Prop_Closed,DistDowntown
475,Healthy-Lifestyle,Healthy Lifestyles,0,0,0,0,NA,0,0,0,FoodDisp,,6 Olneyville Sq,Providence,RI,"6 Olneyville Sq, Providence, RI",41.8166185,-71.4431959,Olneyville,44007001600,0.25,1,26,27,0.037,1.624922248
92,Hemenway-s-Seaafood-Grill-&-Oyster-Bar,Hemenway's Restaurant,0,0,0,0,NA,0,0,0,LiquorBvic,,121 South Main St,Providence,RI,"121 South Main St, Providence, RI",41.8239618,-71.4070226,Downtown,44007000800,0.25,2,46,48,0.042,0
702,Heng-Thai-&-Rotisserie,Heng Thai and Rotisserie,0,0,0,0,NA,0,0,0,LiquorBvic,,165 Angell St,Providence,RI,"165 Angell St, Providence, RI",41.8278567,-71.4012475,College Hill,44007003602,0.25,1,27,28,0.036,0.453674891
785,Herbal-Life-Nutrition,Herbal Life Nutrition,1,0,0,0,NA,0,0,0,FoodDisp,,271 Pocasset Ave,Providence,RI,"271 Pocasset Ave, Providence, RI",41.8077674,-71.4562898,Silver Lake,44007001700,0.25,0,11,11,0,2.669571242
309,Hernandez-Auto-Sales-&-Repair,Hernandez Auto Sales & Repair,1,0,0,0,NA,0,0,0,SecHandAut,,600 Cranston St,Providence,RI,"600 Cranston St, Providence, RI",41.807173,-71.435085,West End,44007001400,0.25,0,20,20,0,1.401026305
621,High-Spirits-Liquors,High Spirits Liquors,0,0,0,0,NA,0,0,0,LiquorA,,559 North Main St,Providence,RI,"559 North Main St, Providence, RI",41.8368423,-71.4082416,Mount Hope,44007003100,0.25,0,6,6,0,0.259063858
732,Hilton-Garden-Inn-Providence,Hilton Garden Inn Providence,0,0,0,0,NA,0,0,0,LiquorBtav,,220 India St,Providence,RI,"220 India St, Providence, RI",41.8186485,-71.3911503,Fox Point,44007003700,0.25,2,10,12,0.167,0.822736622
93,Hilton-Providence,Hilton Providence,0,0,0,0,NA,0,0,0,LiquorBtav,,21 Atwells Ave,Providence,RI,"21 Atwells Ave, Providence, RI",41.8230017,-71.4185724,Downtown,44007000800,0.25,5,39,44,0.114,0
693,Holy-Rosary-Band-Society,Holy Rosary Band Society,0,0,0,0,NA,0,0,0,LiquorD,,157 Gano St,Providence,RI,"157 Gano St, Providence, RI",41.8241526,-71.3898697,Fox Point,44007003500,0.25,1,17,18,0.056,1.041663543
616,Home-Depot-#4285,The Home Depot,0,0,0,0,NA,0,0,0,SundaySale,,387 Charles St,Providence,RI,"387 Charles St, Providence, RI",41.843616,-71.417562,Charles,44007002900,0.25,0,7,7,0,0.624631662
385,Honey-Dew,Honey Dew Donuts,0,0,0,0,NA,0,0,0,FoodDisp,,269 Valley St,Providence,RI,"269 Valley St, Providence, RI",41.8239986,-71.4393044,Olneyville,44007001900,0.25,0,25,25,0,1.329058861
